"StartTime","UserAction","Site","URL","Lang","UserID","SearchQuery","AmountSearchResults","Device","UserAgent","Browser","IP","Resolution","AdsFeed","countryLabel","city"
"2017-01-24 16:44:56.587 UTC","AdClick","www.fox32chicago.com","http://www.fox32chicago.com/news/231399246-story","eng","174.198.7.34_Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Mobile/14B100 [FBAN/FBIOS;FBAV/76.0.0.45.339;FBBV/47725512;FBRV/0;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.1.1;FBSS/2;FBCR/Verizon;FBID/phone;FBLC/en_US;FBOP/5]",,,"Unknown iPhone","Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Mobile/14B100 [FBAN/FBIOS;FBAV/76.0.0.45.339;FBBV/47725512;FBRV/0;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.1.1;FBSS/2;FBCR/Verizon;FBID/phone;FBLC/en_US;FBOP/5]","Mozilla 0.0","174.198.7.34","375X667",,"United States",
"2017-01-24 01:32:00.253 UTC","AdClick","www.fox7austin.com","http://www.fox7austin.com/news/us-world-news/231218478-story##","eng","74.192.167.155_Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G36 [FBAN/FBIOS;FBAV/76.0.0.45.339;FBBV/47725512;FBRV/0;FBDV/iPhone6,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/9.3.5;FBSS/2;FBCR/Sprint;FBID/phone;FBLC/en_US;FBOP/5]","The Real",,"Apple IPhone","Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13G36 [FBAN/FBIOS;FBAV/76.0.0.45.339;FBBV/47725512;FBRV/0;FBDV/iPhone6,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/9.3.5;FBSS/2;FBCR/Sprint;FBID/phone;FBLC/en_US;FBOP/5]","Safari 9.0","74.192.167.155","320X568","Taboola","United States","Georgetown"
